source_identity_reference	decision	decision_reference	reviewer_or_model_reference	reviewed	reason_codes
ERIC:EJ278749	unresolved	review-packet:37b5ea49a104004fbfd7fa3f80819c765f8eb5874b9dbc819cd4f95fbfe79c6a	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	insufficientTitleAbstractEvidence
ERIC:ED288076	exclude	review-packet:709ac40aa73e6468cb898cfb6e50756e13440baec607e6f30546eab22c978caa	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	sustainabilityQuestionMismatch
ERIC:ED603380	exclude	review-packet:0bb35378374745b21f4cbedef174338501041a3170c8ee1f7e7f70864924fd36	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	sustainabilityQuestionMismatch
ERIC:ED196683	exclude	review-packet:07c5c0fe7644563b270764dd4f08967afab86f631123f4c758ff4c23c8e4d7fe	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	educationContextMismatch
ERIC:EJ315863	exclude	review-packet:30816aa0211169fdcf2a358703066c962d29fa79e39125a853ffdd720c80c841	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	sustainabilityQuestionMismatch
ERIC:EJ135072	unresolved	review-packet:04cddc308bc1697cf090ffc85501e63c4146daf159dfdceabba58cb0c8fa58ed	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	insufficientTitleAbstractEvidence
ERIC:EJ205395	exclude	review-packet:148793e9fb8f15fee50024a6fec30241aa1011594b93d9d0b82178e8667d4477	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	sustainabilityQuestionMismatch
ERIC:ED164286	exclude	review-packet:b91be9b660ec360ff70e1b866c66eb70319e574f9834ae819a2aed1e25ab2706	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	interventionOrTechnologyMismatch
ERIC:EJ278752	unresolved	review-packet:e23c54081b750baf78109f7857142a2b00521c852c0ff563dfdc66e607c8b6bc	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	insufficientTitleAbstractEvidence
ERIC:EJ376775	exclude	review-packet:5db69fc2185fd784713582125b3cbcc30747d5e8a4b46be507c743f9cd685278	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	noRelevantReviewOrMethodRole
ERIC:EJ371034	exclude	review-packet:42bdb52968b28d3bc59870c60b16979b00e98c80952fce571e6e0e82e891ccea	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	sustainabilityQuestionMismatch
ERIC:EJ386321	exclude	review-packet:faac9ee6181837a2765e46c25e303fda105590fca8389433b8224b9e8127a53d	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	sustainabilityQuestionMismatch
ERIC:EJ490008	exclude	review-packet:354faefb4f3a25c216ce5fd134db71301845ad3fa6d531965170952fbadc65e2	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	interventionOrTechnologyMismatch
ERIC:EJ201269	unresolved	review-packet:294098aa33314888fad3358be032b7ca0d0c6b1487e92c0cbcbc066cd0cda783	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	insufficientTitleAbstractEvidence
ERIC:EJ277065	exclude	review-packet:6bc2987967e3bb5e905a92fdc04e10f61823884a8c9e1418a5da7b12e5fb7cea	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	sustainabilityQuestionMismatch
ERIC:EJ664861	probable	review-packet:324fa7a0834fee1313ca24ea2dd4cf79856a04d61dd58ddf5b484ec0d623a713	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	requiresFullText
ERIC:EJ369377	exclude	review-packet:edcf22b2f281ec74e788471286fd5b97a6fdfb46fd9381f5570f1d7aa275d543	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	sustainabilityQuestionMismatch
ERIC:EJ1286444	probable	review-packet:40ec2e92c2573fd90558c91a0d401f87c6648eb98df04f02e94b65e5cdfb88e1	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	requiresFullText
ERIC:EJ024347	exclude	review-packet:43d17c4bf79f9c7cf316622a5adfa6e06bce15bd45f11a87f0b0d50c97dbfeab	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	educationContextMismatch
ERIC:EJ1493462	probable	review-packet:d0c002b4b7131f9c068ec71a2c11929ebab4763fe3cdf2105d35fdefa0f16d44	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	requiresFullText
ERIC:EJ1324293	include	review-packet:0d7b4967c30169d3e7206927dd0bdea48439b8cb1be30db8dfe1d934339cd870	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	potentiallyRelevant
ERIC:EJ250299	exclude	review-packet:f14e9811735f3cd160dfdb71165cb1e071c51ebda628db29ce8c34d8995e599f	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	sustainabilityQuestionMismatch
ERIC:ED077705	unresolved	review-packet:ffa53040781fade5f31883a8aca1362344b01b00ec23f854179e4acd97b57a2b	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	insufficientTitleAbstractEvidence
ERIC:EJ260480	exclude	review-packet:8416b02415846e5d2f116d36f7f14c7453a89c74c8acf2bb7578a51d53a9eca7	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	sustainabilityQuestionMismatch
ERIC:EJ1108428	probable	review-packet:601128f6886d6edf87c16bec6f9975d8d7de8addcecdf35703641ddc6e278e8b	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	requiresFullText
ERIC:EJ1413583	probable	review-packet:4b1556ad2a933e7670785c6206d3851890f2d43f3977d2dea2c696bced9d828f	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	requiresFullText
ERIC:EJ1496359	probable	review-packet:800b1579c681634b93db5395cecf6fb157e8aebdba73921709529d9260a65d5e	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	requiresFullText
ERIC:EJ1119572	include	review-packet:014674f844a1615a0e4aef912d379986fa61d6a3dc14083c89ba5fce946e852f	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	potentiallyRelevant
ERIC:EJ901403	probable	review-packet:01a855c5cbd3e7b66b4bc6fe98b06d867be6891236bd6494f2694f8bb1dfa037	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	requiresFullText
ERIC:EJ1437235	probable	review-packet:3048cfad3b9a92f71b2cfc088a9e57a39c05a4947ae7a22f735bdf154e0a6c4e	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	requiresFullText
ERIC:ED222749	exclude	review-packet:d33fe56bb166cdc561fdf208190fb21948fa059d1707b403096855c90abfd867	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	interventionOrTechnologyMismatch
ERIC:EJ1139065	exclude	review-packet:51176c48f0683b51f42ca12ff1e62536ee07c1056edf3cdc64649a2eb9191134	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	noRelevantReviewOrMethodRole
ERIC:EJ294924	unresolved	review-packet:34ad2cb0b70c0242257e2ee8c1cf549714c36c7e73ceff0c56091568b8b72d32	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	insufficientTitleAbstractEvidence
ERIC:ED629161	include	review-packet:768ef9ecf2b953c36f90f2e4c9d43911b334eed8608c1089423be77ddb054b35	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	potentiallyRelevant
ERIC:ED167371	include	review-packet:fe32125887952398654713129ee7474af0ff74c5a684ac3043a716b32dad8444	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	potentiallyRelevant
ERIC:EJ088384	exclude	review-packet:19f8b488a4b73a794f115b89069d7bdb755b473c2383809b5c14069dbf8f3667	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	sustainabilityQuestionMismatch
ERIC:EJ1400364	probable	review-packet:ea380340ec3d93b33ef79508fd541180f0518405cb7990b4eba0446e8f26cc83	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	requiresFullText
ERIC:EJ799047	probable	review-packet:fb03996fced5cb43f55d17f018a493ebc2a91d4a12ce25538970e8f8b14b52dd	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	requiresFullText
ERIC:ED255364	unresolved	review-packet:908adf907ac2531fc0147e68d171a6676c06559647b999ad170a3d854a8950d0	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	insufficientTitleAbstractEvidence
ERIC:EJ1320005	probable	review-packet:6367ef350d1469e923a9ede079913e82f7494d5a1da154f92f36386672af1de8	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	requiresFullText
